               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12717,            0.012963,            0.053981,                   0,                   0,                   0,                   0,            0.082642,           0.0090667,            0.032794,              0.0991,              0.0001,              0.0001
                   1,             0.10671,            0.011017,            0.042805,                   0,                   0,                   0,                   0,            0.082103,           0.0090788,            0.032748,            0.097285,          0.00028515,          0.00028515
                   2,             0.10029,            0.011349,            0.041424,                   0,                   0,                   0,                   0,            0.081387,           0.0090731,            0.032785,            0.095451,           0.0004505,           0.0004505
                   3,             0.10188,            0.010184,            0.047985,           0.0027972,             0.66667,           0.0026911,           0.0006565,            0.081376,           0.0086218,            0.032822,            0.093596,          0.00059605,          0.00059605
                   4,             0.11359,            0.010768,            0.064623,            0.001385,             0.33333,           0.0014807,          0.00059228,            0.080747,           0.0086154,            0.032666,            0.091722,           0.0007218,           0.0007218
                   5,             0.11964,            0.011841,            0.058878,           0.0030303,             0.66667,           0.0033479,          0.00089802,            0.080538,           0.0084268,            0.032556,            0.089828,          0.00082775,          0.00082775
                   6,             0.12296,            0.012713,            0.055427,           0.0014684,             0.33333,           0.0027203,           0.0008161,            0.079559,           0.0083785,            0.032144,            0.087914,           0.0009139,           0.0009139
                   7,            0.067143,           0.0093765,            0.024513,            0.001297,             0.33333,           0.0015735,           0.0006294,            0.078968,           0.0082157,            0.031769,             0.08598,          0.00098025,          0.00098025
                   8,            0.056749,            0.010729,            0.022405,           0.0011806,             0.33333,           0.0018804,          0.00094022,            0.078087,           0.0080972,            0.031375,            0.084027,           0.0010268,           0.0010268
                   9,            0.079829,            0.010048,            0.042056,           0.0011186,             0.33333,             0.00138,            0.000276,            0.078029,           0.0078579,            0.030716,            0.082054,           0.0010536,           0.0010536
                  10,            0.096469,            0.012189,            0.050985,           0.0011351,             0.33333,           0.0017781,          0.00035562,            0.077589,           0.0078925,            0.030707,            0.080061,           0.0010605,           0.0010605
                  11,             0.11276,            0.011341,            0.047017,           0.0011351,             0.33333,           0.0017781,          0.00035562,            0.077589,           0.0078925,            0.030707,            0.078048,           0.0010477,           0.0010477
                  12,              0.1102,            0.010269,            0.050951,           0.0011173,             0.33333,           0.0020208,          0.00060624,            0.076899,            0.007895,            0.030185,            0.076015,            0.001015,            0.001015
                  13,            0.044307,            0.010165,            0.023015,           0.0011287,             0.33333,           0.0021375,          0.00064124,            0.075634,           0.0078933,            0.029718,            0.073963,          0.00096255,          0.00096255
                  14,             0.11087,            0.010181,            0.045406,           0.0011287,             0.33333,           0.0021375,          0.00064124,            0.075634,           0.0078933,            0.029718,             0.07189,           0.0008903,           0.0008903
                  15,            0.082709,            0.011832,               0.039,           0.0011494,             0.33333,           0.0020562,           0.0010281,            0.074266,           0.0079812,            0.029224,            0.069798,          0.00079825,          0.00079825
                  16,            0.071725,            0.010488,             0.02826,           0.0011521,             0.33333,           0.0051678,           0.0012705,            0.074077,           0.0080102,            0.028079,            0.067686,           0.0006864,           0.0006864
                  17,             0.10326,            0.010896,            0.042764,           0.0011521,             0.33333,           0.0051678,           0.0012705,            0.074077,           0.0080102,            0.028079,            0.065555,          0.00055475,          0.00055475
                  18,            0.051128,            0.010142,            0.022374,           0.0010977,             0.33333,           0.0029812,          0.00098659,            0.072774,           0.0078764,            0.026898,            0.063403,           0.0004033,           0.0004033
                  19,               0.114,            0.012232,            0.047278,           0.0010977,             0.33333,           0.0029812,          0.00098659,            0.072774,           0.0078764,            0.026898,            0.061232,          0.00023205,          0.00023205
