               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12717,            0.012963,            0.053981,                   0,                   0,                   0,                   0,            0.082642,           0.0090667,            0.032794,              0.0991,              0.0001,              0.0001
                   1,             0.10673,            0.011016,            0.042795,                   0,                   0,                   0,                   0,            0.082108,            0.009082,            0.032758,             0.09727,           0.0002703,           0.0002703
                   2,             0.10019,            0.011363,            0.041429,                   0,                   0,                   0,                   0,            0.081425,           0.0090739,            0.032822,            0.095401,            0.000401,            0.000401
                   3,             0.10178,            0.010192,            0.048124,           0.0028409,             0.66667,             0.00274,          0.00066491,            0.081466,           0.0086065,            0.032895,            0.093492,           0.0004921,           0.0004921
                   4,              0.1147,            0.010734,            0.064962,            0.002751,             0.66667,           0.0026151,          0.00081621,            0.080791,           0.0086162,            0.032785,            0.091544,           0.0005436,           0.0005436
                   5,              0.1201,             0.01181,            0.058541,           0.0013699,             0.33333,           0.0019633,          0.00078533,            0.080613,           0.0084937,            0.032639,            0.089556,           0.0005555,           0.0005555
                   6,             0.12367,            0.012663,            0.055748,           0.0013193,             0.33333,           0.0018105,          0.00072419,            0.079911,             0.00848,            0.032327,            0.087528,           0.0005278,           0.0005278
                   7,            0.066353,           0.0094577,            0.024661,            0.001218,             0.33333,           0.0014811,          0.00087012,            0.078942,           0.0085735,            0.031851,            0.085461,           0.0004605,           0.0004605
                   8,            0.058638,            0.010648,            0.023051,           0.0012048,             0.33333,           0.0017954,           0.0010772,            0.078522,           0.0084228,            0.031696,            0.083354,           0.0003536,           0.0003536
                   9,            0.086708,            0.010035,            0.045443,            0.001199,             0.33333,           0.0017763,             0.00124,            0.078242,           0.0083769,            0.031696,            0.081207,           0.0002071,           0.0002071
