               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12056,             0.01891,                   0,           0.0010417,              0.3125,           0.0011755,          0.00027695,             0.13155,            0.012686,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12139,            0.016924,                   0,           0.0010417,              0.3125,          0.00091039,          0.00024405,             0.12807,            0.012845,                   0,            0.097295,           0.0002945,           0.0002945
                   2,             0.12504,            0.017359,                   0,           0.0012583,               0.375,           0.0014709,          0.00032728,              0.1222,            0.013145,                   0,            0.095482,          0.00048167,          0.00048167
                   3,             0.11854,            0.019137,                   0,           0.0024097,              0.5625,           0.0048277,          0.00080497,             0.11005,            0.013566,                   0,            0.093662,           0.0006615,           0.0006615
                   4,             0.11339,             0.01921,                   0,             0.11316,              0.0625,            0.029037,           0.0051133,            0.095796,            0.014022,                   0,            0.091834,            0.000834,            0.000834
                   5,             0.11084,            0.017849,                   0,             0.18455,              0.1875,            0.061978,            0.019958,            0.085231,            0.014486,                   0,            0.089999,          0.00099917,          0.00099917
                   6,             0.10396,            0.025249,                   0,             0.28079,                0.25,              0.2118,            0.076101,            0.077155,            0.015142,                   0,            0.088157,            0.001157,            0.001157
                   7,              0.1056,            0.019686,                   0,             0.40719,             0.30133,             0.32246,             0.09989,            0.073996,            0.015639,                   0,            0.086308,           0.0013075,           0.0013075
                   8,            0.096672,             0.01839,                   0,              0.6619,             0.49017,             0.54782,              0.2121,            0.069582,            0.016365,                   0,            0.084451,           0.0014507,           0.0014507
                   9,            0.089533,            0.025601,                   0,             0.69402,               0.375,             0.54822,             0.24139,              0.0673,            0.016474,                   0,            0.082587,           0.0015865,           0.0015865
                  10,            0.091965,            0.021501,                   0,             0.87863,             0.45385,             0.66396,             0.27907,            0.065331,            0.016566,                   0,            0.080715,            0.001715,            0.001715
                  11,            0.084077,            0.024893,                   0,             0.87863,             0.45385,             0.66396,             0.27907,            0.065331,            0.016566,                   0,            0.078836,           0.0018362,           0.0018362
                  12,            0.085822,            0.025572,                   0,             0.88771,             0.49471,             0.67755,             0.31779,            0.065118,            0.016501,                   0,             0.07695,             0.00195,             0.00195
                  13,            0.080371,             0.02286,                   0,             0.66075,                 0.5,             0.68113,             0.32928,            0.065836,            0.016016,                   0,            0.075056,           0.0020565,           0.0020565
                  14,            0.085161,            0.021969,                   0,             0.66075,                 0.5,             0.68113,             0.32928,            0.065836,            0.016016,                   0,            0.073156,           0.0021557,           0.0021557
                  15,            0.084436,            0.029059,                   0,             0.69075,             0.55869,             0.61371,             0.30147,            0.066346,            0.015714,                   0,            0.071248,           0.0022475,           0.0022475
                  16,            0.078435,            0.018637,                   0,             0.51595,             0.33444,             0.58015,             0.22781,             0.06434,            0.015711,                   0,            0.069332,            0.002332,            0.002332
                  17,             0.07176,            0.024118,                   0,             0.51595,             0.33444,             0.58015,             0.22781,             0.06434,            0.015711,                   0,            0.067409,           0.0024092,           0.0024092
                  18,            0.078145,            0.022549,                   0,             0.79146,             0.47597,             0.77173,             0.34969,            0.060424,            0.015869,                   0,            0.065479,            0.002479,            0.002479
                  19,            0.081472,            0.029601,                   0,             0.79146,             0.47597,             0.77173,             0.34969,            0.060424,            0.015869,                   0,            0.063542,           0.0025415,           0.0025415
                  20,            0.078171,            0.023171,                   0,             0.73979,              0.5625,             0.74399,             0.36456,            0.055166,            0.015908,                   0,            0.061597,           0.0025967,           0.0025967
                  21,            0.073362,            0.026216,                   0,             0.73979,              0.5625,             0.74399,             0.36456,            0.055166,            0.015908,                   0,            0.059645,           0.0026445,           0.0026445
                  22,            0.072822,             0.02532,                   0,             0.65711,             0.59992,             0.77312,             0.32256,            0.055286,            0.015124,                   0,            0.057685,            0.002685,            0.002685
                  23,            0.075638,            0.023261,                   0,             0.65711,             0.59992,             0.77312,             0.32256,            0.055286,            0.015124,                   0,            0.055718,           0.0027182,           0.0027182
                  24,            0.070369,            0.024361,                   0,             0.40989,                 0.5,             0.51671,             0.23216,            0.048918,            0.015397,                   0,            0.053744,            0.002744,            0.002744
                  25,            0.073832,            0.022195,                   0,             0.40989,                 0.5,             0.51671,             0.23216,            0.048918,            0.015397,                   0,            0.051763,           0.0027625,           0.0027625
                  26,            0.075056,            0.024542,                   0,             0.40989,                 0.5,             0.51671,             0.23216,            0.048918,            0.015397,                   0,            0.049774,           0.0027737,           0.0027737
                  27,            0.069645,            0.021754,                   0,             0.47419,               0.625,             0.51392,             0.23646,            0.049794,            0.015148,                   0,            0.047778,           0.0027775,           0.0027775
                  28,            0.073601,            0.024452,                   0,             0.47419,               0.625,             0.51392,             0.23646,            0.049794,            0.015148,                   0,            0.045774,            0.002774,            0.002774
                  29,            0.071369,            0.025485,                   0,              0.4477,                 0.5,             0.61901,             0.30576,            0.047242,            0.014864,                   0,            0.043763,           0.0027632,           0.0027632
                  30,            0.067808,            0.029907,                   0,              0.4477,                 0.5,             0.61901,             0.30576,            0.047242,            0.014864,                   0,            0.041745,            0.002745,            0.002745
                  31,            0.071989,             0.02572,                   0,              0.4477,                 0.5,             0.61901,             0.30576,            0.047242,            0.014864,                   0,            0.039719,           0.0027195,           0.0027195
                  32,            0.068279,            0.029244,                   0,              0.5327,               0.625,             0.65679,             0.35119,            0.047856,            0.014547,                   0,            0.037687,           0.0026867,           0.0026867
                  33,            0.067287,            0.024545,                   0,              0.5327,               0.625,             0.65679,             0.35119,            0.047856,            0.014547,                   0,            0.035646,           0.0026465,           0.0026465
                  34,            0.066033,            0.024977,                   0,              0.5327,               0.625,             0.65679,             0.35119,            0.047856,            0.014547,                   0,            0.033599,            0.002599,            0.002599
                  35,             0.06625,            0.027323,                   0,             0.53803,              0.6875,             0.72476,             0.39015,            0.048755,            0.014193,                   0,            0.031544,           0.0025442,           0.0025442
                  36,            0.058139,            0.022134,                   0,             0.53803,              0.6875,             0.72476,             0.39015,            0.048755,            0.014193,                   0,            0.029482,            0.002482,            0.002482
                  37,            0.059928,            0.024124,                   0,             0.53803,              0.6875,             0.72476,             0.39015,            0.048755,            0.014193,                   0,            0.027413,           0.0024125,           0.0024125
                  38,              0.0642,            0.019793,                   0,             0.67133,             0.76662,             0.80501,             0.42576,            0.048637,            0.014294,                   0,            0.025336,           0.0023357,           0.0023357
                  39,            0.065247,            0.024893,                   0,             0.67133,             0.76662,             0.80501,             0.42576,            0.048637,            0.014294,                   0,            0.023252,           0.0022515,           0.0022515
                  40,            0.068972,            0.021841,                   0,             0.67133,             0.76662,             0.80501,             0.42576,            0.048637,            0.014294,                   0,             0.02116,             0.00216,             0.00216
                  41,            0.061939,            0.023404,                   0,             0.76764,               0.875,             0.85936,             0.47131,            0.045579,            0.014113,                   0,            0.019061,           0.0020612,           0.0020612
                  42,            0.059679,            0.021173,                   0,             0.76764,               0.875,             0.85936,             0.47131,            0.045579,            0.014113,                   0,            0.016955,            0.001955,            0.001955
                  43,            0.061917,            0.022724,                   0,             0.76764,               0.875,             0.85936,             0.47131,            0.045579,            0.014113,                   0,            0.014842,           0.0018415,           0.0018415
                  44,             0.06226,            0.030232,                   0,             0.76764,               0.875,             0.85936,             0.47131,            0.045579,            0.014113,                   0,            0.012721,           0.0017207,           0.0017207
                  45,            0.058605,             0.02037,                   0,             0.68809,               0.875,             0.85936,             0.50015,            0.044766,            0.013869,                   0,            0.010593,           0.0015925,           0.0015925
                  46,            0.056643,            0.026669,                   0,             0.68809,               0.875,             0.85936,             0.50015,            0.044766,            0.013869,                   0,            0.008457,            0.001457,            0.001457
                  47,            0.062064,            0.021558,                   0,             0.68809,               0.875,             0.85936,             0.50015,            0.044766,            0.013869,                   0,           0.0063142,           0.0013142,           0.0013142
                  48,            0.062474,            0.023442,                   0,             0.68809,               0.875,             0.85936,             0.50015,            0.044766,            0.013869,                   0,            0.004164,            0.001164,            0.001164
                  49,            0.061969,            0.018241,                   0,             0.70174,              0.8826,              0.8806,             0.50569,             0.04374,            0.013926,                   0,           0.0020065,           0.0010065,           0.0010065
                  50,            0.058453,            0.024942,                   0,             0.70174,              0.8826,              0.8806,             0.50569,             0.04374,            0.013926,                   0,          0.00083333,          0.00083333,          0.00083333
                  51,            0.056454,            0.025846,                   0,             0.70174,              0.8826,              0.8806,             0.50569,             0.04374,            0.013926,                   0,          0.00083333,          0.00083333,          0.00083333
                  52,            0.055457,            0.023967,                   0,             0.70174,              0.8826,              0.8806,             0.50569,             0.04374,            0.013926,                   0,             0.00065,             0.00065,             0.00065
                  53,            0.053467,            0.020903,                   0,             0.79654,             0.73486,               0.921,             0.51541,             0.04265,            0.014024,                   0,          0.00046667,          0.00046667,          0.00046667
