               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087904,            0.022742,            0.046602,             0.60558,             0.29284,             0.21674,            0.076029,            0.053666,            0.013189,            0.034527,            0.070268,           0.0033036,           0.0033036
                   1,            0.060791,            0.021404,            0.030759,              0.6902,             0.38683,             0.50258,             0.23952,            0.054735,           0.0084231,            0.018725,            0.040202,           0.0065712,           0.0065712
                   2,            0.057958,            0.017216,            0.019907,             0.61654,             0.64033,             0.54761,             0.24709,            0.044864,           0.0072348,            0.010803,             0.01007,           0.0097728,           0.0097728
                   3,            0.053294,            0.014734,            0.015736,             0.68192,             0.68417,              0.7365,             0.35862,            0.038714,           0.0069324,            0.009021,            0.009703,            0.009703,            0.009703
                   4,            0.047461,            0.015175,            0.012613,             0.68604,             0.81147,             0.75041,             0.40778,            0.034873,            0.006532,           0.0071866,            0.009703,            0.009703,            0.009703
                   5,            0.042753,             0.01375,            0.010933,             0.70223,             0.84666,             0.78321,             0.46015,            0.032425,           0.0058539,           0.0059827,            0.009604,            0.009604,            0.009604
                   6,            0.039433,            0.013156,           0.0096495,             0.69904,             0.83993,             0.79381,             0.48017,            0.031094,           0.0057809,           0.0057234,            0.009505,            0.009505,            0.009505
                   7,            0.039206,              0.0128,           0.0094703,             0.74091,             0.84081,              0.8636,             0.50454,            0.034204,           0.0056646,           0.0052389,            0.009406,            0.009406,            0.009406
                   8,            0.037503,            0.012779,           0.0095857,             0.80482,             0.79967,             0.86297,             0.57473,            0.027201,           0.0058872,           0.0087687,            0.009307,            0.009307,            0.009307
                   9,            0.035843,            0.013088,            0.009482,              0.7799,             0.90178,             0.87106,             0.59148,            0.026616,           0.0056049,           0.0051009,            0.009208,            0.009208,            0.009208
                  10,            0.035179,            0.013178,           0.0085204,              0.8061,             0.86329,             0.88975,             0.56455,             0.02685,           0.0053941,           0.0047213,            0.009109,            0.009109,            0.009109
                  11,            0.034354,            0.012671,            0.008235,             0.75265,             0.91092,             0.90083,             0.58104,            0.028448,           0.0054515,           0.0040028,             0.00901,             0.00901,             0.00901
                  12,            0.034042,            0.012167,           0.0082777,             0.78872,             0.88969,             0.90227,             0.64532,            0.025287,           0.0053294,           0.0048147,            0.008911,            0.008911,            0.008911
                  13,            0.033118,             0.01233,           0.0074622,             0.83873,             0.88561,             0.92223,             0.66063,            0.023843,           0.0051578,           0.0038856,            0.008812,            0.008812,            0.008812
                  14,            0.032179,            0.012163,            0.006781,             0.81191,             0.89282,             0.90651,             0.60441,            0.027028,           0.0052183,           0.0041264,            0.008713,            0.008713,            0.008713
                  15,            0.031881,            0.012066,           0.0063311,             0.80707,              0.8961,             0.91616,             0.61699,            0.025451,           0.0051693,            0.003748,            0.008614,            0.008614,            0.008614
                  16,            0.031494,            0.011411,           0.0056909,             0.84777,             0.87234,             0.92917,             0.68156,            0.021454,            0.005029,           0.0036564,            0.008515,            0.008515,            0.008515
                  17,            0.030787,             0.01157,           0.0060237,             0.83113,             0.88137,             0.91298,             0.61703,            0.023885,           0.0053073,           0.0037444,            0.008416,            0.008416,            0.008416
                  18,            0.031523,            0.011434,           0.0058465,             0.83218,             0.87881,             0.92468,             0.64338,            0.023054,           0.0050024,           0.0041738,            0.008317,            0.008317,            0.008317
                  19,            0.030396,            0.011298,           0.0049088,             0.78723,             0.89903,              0.9166,             0.65272,            0.023558,           0.0049417,           0.0038051,            0.008218,            0.008218,            0.008218
                  20,            0.029685,            0.011272,           0.0056617,             0.81377,             0.91967,             0.92267,             0.67536,            0.021507,           0.0048316,           0.0035387,            0.008119,            0.008119,            0.008119
                  21,            0.029121,            0.011523,           0.0059863,             0.81955,             0.91599,             0.91603,             0.65863,             0.02253,           0.0048089,           0.0033371,             0.00802,             0.00802,             0.00802
                  22,            0.029063,            0.010512,           0.0052296,             0.82993,             0.87218,              0.9222,             0.68459,             0.02098,           0.0049257,           0.0031534,            0.007921,            0.007921,            0.007921
