               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08858,            0.030683,            0.046231,             0.35656,             0.31602,             0.17582,             0.05821,            0.060932,            0.016833,            0.037443,            0.070268,           0.0033036,           0.0033036
                   1,            0.062324,            0.026542,            0.029829,             0.26462,             0.69737,             0.43614,             0.18361,            0.054163,            0.010198,            0.020575,            0.040246,            0.006615,            0.006615
                   2,            0.060962,            0.020984,            0.020286,             0.41087,             0.81228,              0.6164,             0.27354,            0.056053,           0.0083519,            0.013161,            0.010202,           0.0099044,           0.0099044
                   3,            0.055106,            0.017607,             0.01533,             0.60956,             0.82513,             0.74639,             0.41578,            0.046566,           0.0076075,           0.0084688,            0.009901,            0.009901,            0.009901
                   4,            0.047673,            0.017852,            0.011495,             0.78594,             0.89305,             0.88415,             0.47636,            0.036662,            0.007402,           0.0068829,            0.009901,            0.009901,            0.009901
                   5,            0.043298,            0.016866,           0.0093677,             0.89049,             0.92955,               0.931,             0.52166,            0.033812,           0.0069437,           0.0056006,            0.009868,            0.009868,            0.009868
                   6,            0.040168,            0.015742,           0.0090423,             0.85409,             0.92409,             0.94726,             0.52791,            0.032695,           0.0070731,           0.0063721,            0.009835,            0.009835,            0.009835
                   7,            0.038684,            0.015324,            0.008345,             0.88553,             0.94174,             0.95497,             0.58505,            0.031272,           0.0067742,           0.0055248,            0.009802,            0.009802,            0.009802
                   8,            0.037756,            0.015629,           0.0090516,             0.93457,              0.9329,              0.9671,             0.62696,            0.028572,           0.0066842,            0.006927,            0.009769,            0.009769,            0.009769
                   9,            0.036091,            0.015717,           0.0084563,             0.92595,             0.95293,             0.96666,              0.6274,            0.029792,           0.0065837,           0.0047897,            0.009736,            0.009736,            0.009736
                  10,            0.035923,            0.015593,           0.0073835,             0.92248,             0.94276,             0.96364,             0.63391,            0.027149,           0.0064781,           0.0044213,            0.009703,            0.009703,            0.009703
                  11,            0.034841,            0.015239,           0.0074929,               0.925,             0.94647,             0.96981,             0.63105,             0.02983,           0.0064427,           0.0041696,             0.00967,             0.00967,             0.00967
                  12,            0.034755,            0.014792,           0.0070189,             0.92445,             0.95922,             0.97574,             0.64888,            0.026477,            0.006414,           0.0049366,            0.009637,            0.009637,            0.009637
                  13,            0.033289,            0.014781,            0.006332,             0.93728,             0.94755,             0.97599,             0.65392,             0.02434,           0.0062399,           0.0043471,            0.009604,            0.009604,            0.009604
                  14,            0.032743,            0.014683,           0.0059107,             0.88902,             0.93888,              0.9573,              0.6661,            0.028455,           0.0061616,           0.0041256,            0.009571,            0.009571,            0.009571
                  15,             0.03338,            0.014687,           0.0060371,             0.94458,             0.96354,             0.98083,             0.68213,            0.024852,           0.0060958,           0.0040316,            0.009538,            0.009538,            0.009538
                  16,            0.032307,            0.014045,           0.0054319,             0.92004,             0.95474,             0.97382,             0.64724,            0.026558,           0.0061801,           0.0036873,            0.009505,            0.009505,            0.009505
                  17,            0.031513,             0.01399,           0.0055563,             0.93082,             0.94604,             0.97763,             0.69576,            0.024648,           0.0059922,           0.0038007,            0.009472,            0.009472,            0.009472
                  18,            0.031542,            0.014023,           0.0056061,             0.95437,             0.93751,             0.97961,             0.71082,            0.021879,           0.0060927,           0.0040944,            0.009439,            0.009439,            0.009439
                  19,            0.031987,            0.014488,           0.0050115,             0.94803,             0.93763,             0.97722,             0.69333,            0.025203,           0.0061049,           0.0042257,            0.009406,            0.009406,            0.009406
                  20,            0.030815,            0.013907,           0.0055528,             0.95242,              0.9311,             0.97804,              0.7234,             0.02116,           0.0059418,           0.0039347,            0.009373,            0.009373,            0.009373
                  21,            0.030525,            0.014181,           0.0051477,             0.93941,             0.95833,             0.98127,             0.71531,            0.022632,           0.0059731,           0.0033967,             0.00934,             0.00934,             0.00934
                  22,            0.028961,            0.012798,           0.0050238,             0.95387,             0.94753,             0.98257,             0.72713,            0.021324,           0.0058816,            0.003488,            0.009307,            0.009307,            0.009307
                  23,            0.029606,            0.013741,           0.0047831,              0.9393,             0.94458,             0.97905,             0.69868,            0.022561,            0.005867,            0.003514,            0.009274,            0.009274,            0.009274
                  24,            0.028878,            0.013857,           0.0048034,             0.94939,              0.9426,             0.97702,             0.71744,            0.023071,            0.005915,           0.0036056,            0.009241,            0.009241,            0.009241
                  25,            0.028258,            0.013398,            0.005283,             0.95116,             0.93578,             0.97776,             0.73305,            0.020048,           0.0056763,            0.003652,            0.009208,            0.009208,            0.009208
                  26,            0.027804,            0.013163,           0.0043471,             0.93646,              0.9622,             0.97665,             0.74318,            0.020731,           0.0057244,           0.0032482,            0.009175,            0.009175,            0.009175
                  27,            0.028045,            0.013358,           0.0051779,             0.94536,             0.95692,             0.98317,             0.74941,            0.019443,           0.0056005,           0.0034333,            0.009142,            0.009142,            0.009142
                  28,            0.027345,            0.013284,           0.0047997,             0.94388,             0.95952,              0.9839,             0.74214,            0.019795,           0.0055996,           0.0034982,            0.009109,            0.009109,            0.009109
                  29,            0.027806,            0.012945,           0.0049203,             0.94417,             0.93877,             0.97936,             0.73176,            0.020266,           0.0058878,           0.0034442,            0.009076,            0.009076,            0.009076
                  30,            0.027067,            0.012761,           0.0046575,             0.94693,             0.95828,              0.9845,             0.72804,            0.020582,           0.0057597,           0.0030888,            0.009043,            0.009043,            0.009043
                  31,            0.026736,            0.012531,           0.0045167,             0.94629,             0.95585,             0.98337,              0.7684,            0.018251,           0.0054597,           0.0031616,             0.00901,             0.00901,             0.00901
                  32,            0.027216,            0.013378,           0.0039833,             0.93977,             0.95906,             0.98315,              0.7641,            0.019354,           0.0055054,           0.0033009,            0.008977,            0.008977,            0.008977
                  33,            0.026318,            0.012915,           0.0047678,             0.94411,             0.94629,             0.98514,             0.76847,            0.019215,           0.0055033,            0.003063,            0.008944,            0.008944,            0.008944
