               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1233,            0.016509,                   0,          0.00039115,             0.11728,          0.00026918,          5.8058e-05,             0.11376,            0.014016,                   0,               0.082,               0.002,               0.002
                   1,             0.11307,            0.017159,                   0,           0.0080737,           0.0069888,          0.00095399,          0.00020633,             0.10128,            0.013912,                   0,            0.063084,           0.0040838,           0.0040838
                   2,             0.10266,            0.016952,                   0,            0.040187,            0.030864,            0.010359,           0.0021555,            0.092711,            0.013462,                   0,            0.044151,           0.0061509,           0.0061509
                   3,            0.098494,            0.017008,                   0,              0.1428,              0.2716,            0.076583,            0.021286,            0.089209,            0.012488,                   0,            0.025201,           0.0082014,           0.0082014
                   4,            0.091371,            0.015994,                   0,            0.094894,             0.18519,            0.047332,           0.0086694,             0.09505,            0.011969,                   0,           0.0098416,           0.0098416,           0.0098416
                   5,            0.085645,            0.016141,                   0,            0.030557,             0.18519,            0.015462,           0.0035435,            0.088575,            0.012275,                   0,           0.0098416,           0.0098416,           0.0098416
                   6,            0.074643,            0.018024,                   0,           0.0061177,             0.97531,             0.02239,           0.0082521,            0.071514,            0.013113,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.073099,            0.018251,                   0,            0.059015,             0.19753,            0.069711,             0.02093,            0.065756,            0.013183,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,            0.066384,            0.019131,                   0,            0.042993,             0.19136,            0.046551,            0.015578,            0.060499,             0.01348,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,            0.062471,            0.018987,                   0,            0.075957,             0.40741,            0.071669,            0.025794,            0.057143,            0.013644,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,            0.062119,             0.01945,                   0,             0.12746,             0.40489,             0.12052,            0.044971,             0.05432,            0.013349,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,            0.057731,            0.018946,                   0,             0.11629,             0.38889,               0.109,            0.052657,            0.052692,            0.012855,                   0,            0.009604,            0.009604,            0.009604
                  12,            0.057736,            0.018013,                   0,            0.054569,             0.49383,            0.054699,            0.029015,            0.057388,            0.012077,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.051933,             0.01684,                   0,             0.18508,             0.54321,             0.17488,            0.093867,            0.042009,            0.013555,                   0,           0.0095248,           0.0095248,           0.0095248
