               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12941,            0.029748,                   0,           0.0010288,            0.078493,          0.00055778,          0.00014268,             0.12688,            0.026055,                   0,               0.082,               0.002,               0.002
                   1,             0.11885,            0.035876,                   0,            0.088153,             0.10989,            0.033833,           0.0066563,             0.10662,            0.031186,                   0,            0.063084,           0.0040838,           0.0040838
                   2,             0.10814,            0.035786,                   0,            0.094493,             0.31711,            0.061982,            0.014098,             0.10616,            0.029216,                   0,            0.044151,           0.0061509,           0.0061509
                   3,             0.10274,            0.035538,                   0,             0.17789,             0.56044,             0.18183,            0.046143,             0.10601,             0.02673,                   0,            0.025201,           0.0082014,           0.0082014
                   4,            0.095317,            0.033046,                   0,            0.087299,             0.55102,            0.077964,            0.019217,             0.10173,            0.027317,                   0,           0.0098416,           0.0098416,           0.0098416
                   5,            0.091694,             0.03092,                   0,            0.073837,             0.70801,            0.068591,            0.020536,            0.099923,            0.027402,                   0,           0.0098416,           0.0098416,           0.0098416
                   6,            0.087624,              0.0305,                   0,             0.35452,             0.64521,             0.39429,             0.12192,            0.091843,            0.023716,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.080696,            0.030746,                   0,             0.34448,             0.65306,              0.3807,            0.093058,            0.083669,            0.023895,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,            0.076775,            0.032563,                   0,             0.40327,             0.60472,             0.49659,             0.13019,            0.073704,            0.023657,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,            0.078336,            0.029741,                   0,             0.48262,             0.74254,             0.56401,             0.16176,            0.070313,            0.022216,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,            0.075549,            0.031326,                   0,             0.39684,             0.71474,             0.48862,             0.13755,            0.063835,            0.022405,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,            0.065251,            0.033138,                   0,             0.53702,             0.69231,             0.65362,             0.24635,            0.061786,            0.022426,                   0,            0.009604,            0.009604,            0.009604
                  12,             0.06358,            0.031144,                   0,             0.38238,             0.78022,             0.38297,             0.12241,            0.064716,            0.022776,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.062672,            0.028287,                   0,             0.54774,             0.77953,             0.64901,               0.281,            0.053512,            0.021195,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.060084,            0.029655,                   0,             0.64987,             0.77394,             0.74348,             0.41252,            0.062398,            0.019912,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.060055,            0.029838,                   0,             0.40917,             0.75039,             0.48972,             0.21993,            0.060584,            0.021278,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,             0.05682,            0.028042,                   0,             0.85932,             0.88697,             0.92873,             0.38337,            0.046633,            0.020142,                   0,            0.009406,            0.009406,            0.009406
